dataset,strategy,dice,precision,recall,iou
jrc_sum159-4,masksup_r0.5,0.4508417967385463,0.701229959407509,0.4227468359711084,0.3617297457883379
jrc_sum159-4,no_mask,0.20734179764115462,0.5895657722983337,0.17497094431928834,0.13488659183817678
jrc_sum159-4,regional_g16,0.43773258582992425,0.555099540012227,0.4067638697453678,0.3269730641730507
jrc_sum159-4,regional_g8,0.4837577192255714,0.5668332455804743,0.4550400502226194,0.3891631557406791
jrc_sum159-4,salient_mask,0.47851743358743565,0.6148337080797867,0.4592458719182678,0.37198882356180457
jrc_sum159-4,salient_mask_aggressive,0.48660061615270633,0.5572175221805168,0.5019666219618102,0.37126900759922354
jrc_sum159-4,uncertainty_au,0.4670843192356453,0.641214842755655,0.45210485125052713,0.36880930891894653
jrc_sum159-4,uncertainty_eu,0.4639587764386374,0.6345711170887903,0.4268079743615097,0.3539349393437386
jrc_ut21-1413-003,box_class_mask,0.435524051284069,0.4027827110241072,0.4850061928539276,0.3223460503499566
jrc_ut21-1413-003,box_class_mask_tight,0.4370545339859886,0.4019239167601964,0.4886133782409539,0.3226873507158558
jrc_ut21-1413-003,class_presence,0.3634352277323207,0.3602723043270079,0.4098760935003535,0.2478642939751942
jrc_ut21-1413-003,class_presence_strict,0.36050892623819936,0.33884955921445686,0.4232885203322058,0.24340745837830013
jrc_ut21-1413-003,entropy_mask,0.4251795552476329,0.45894304088783844,0.4026374650520852,0.3365250791346137
jrc_ut21-1413-003,entropy_mask_strict,0.41121097707298737,0.4259658095854946,0.4039638342449784,0.31328782569395497
jrc_ut21-1413-003,masksup_r0.3,0.4343951287660386,0.4366800194815347,0.44286137891190497,0.33740215213687497
jrc_ut21-1413-003,masksup_r0.5,0.42038785067473033,0.44333292948598213,0.40767366327820287,0.32159725685239554
jrc_ut21-1413-003,no_mask,0.42040648500803207,0.4413086421331235,0.4051333578784272,0.3284708368596297
jrc_ut21-1413-003,regional_g16,0.423566748915759,0.41218572642804163,0.4396067766336288,0.32933228592738595
jrc_ut21-1413-003,regional_g8,0.39572349561045583,0.3880785158639716,0.41298656269736667,0.2932265548916007
jrc_ut21-1413-003,salient_mask,0.43083777236566567,0.42356224167640927,0.44879543123415866,0.3296346258577708
jrc_ut21-1413-003,salient_mask_aggressive,0.4254654661125786,0.3654065514535508,0.5172629530733552,0.3215500022756999
jrc_ut21-1413-003,uncertainty_au,0.4367742124754154,0.4569829479390686,0.4247004124896508,0.3383723872398752
jrc_ut21-1413-003,uncertainty_eu,0.42457999256470336,0.4468022931475133,0.4091896780303322,0.328776256596632
